"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Metabolite (antibiotic)","Antibiotic sensitivity","Antibiotic resistance"
18746,"Ar 9891",,0,"Archangium sp.",kanamycin,,1
18747,"Ar 9896",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
18943,"Ar 8629",,0,"Archangium sp.",cycloheximide,,1
,,,,,kanamycin,,1
,,,,,neomycin,,1
18944,"Ar 8623",,0,"Archangium sp.",cycloheximide,,1
,,,,,kanamycin,,1
19151,"Ar 8910",,0,"Archangium sp.",kanamycin,,1
19203,"Ar PE1",,0,"Archangium sp.",cycloheximide,,1
,,,,,kanamycin,,1
19286,"Ar 10538",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
19400,"Ar 10581",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
19402,"Ar 10577",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
19533,"Ar 7989",,0,"Archangium sp.",kanamycin,,1
19547,"Ar 7938",,0,"Archangium sp.",kanamycin,,1
19566,"Ar 7924",,0,"Archangium sp.",kanamycin,,1
19580,"Ar 7954",,0,"Archangium sp.",kanamycin,,1
19592,"Ar 7949",,0,"Archangium sp.",kanamycin,,1
19789,"Ar VO98",,0,"Archangium sp.",cycloheximide,,1
,,,,,kanamycin,,1
,,,,,neomycin,,1
19970,"Ar 10312",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
19971,"Ar 10313",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
20001,"Ar 6721",,0,"Archangium sp.",kanamycin,,1
20263,"Ar 6629",,0,"Archangium sp.",cycloheximide,,1
,,,,,kanamycin,,1
20330,"Ar 10484",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
20339,"Ar 10482",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
20340,"Ar 10483",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
20608,"Ar 10189",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
20609,"Ar 10193",,0,"Archangium sp.",kanamycin,,1
20802,"Ar 7510",,0,"Archangium sp.",kanamycin,,1
20846,"Ar 9104",,0,"Archangium sp.",kanamycin,,1
20851,"Ar 9192",,0,"Archangium sp.",kanamycin,,1
20854,"Ar 9188",,0,"Archangium sp.",kanamycin,,1
20856,"Ar 9161",,0,"Archangium sp.",kanamycin,,1
20859,"Ar 10219",,0,"Archangium sp.",cycloheximide,,1
,,,,,kanamycin,,1
20868,"Ar 10200",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
20869,"Ar 7642",,0,"Archangium sp.",kanamycin,,1
20929,"Ar 7671",,0,"Archangium sp.",kanamycin,,1
21166,"Ar 9053",,0,"Archangium sp.",kanamycin,,1
21174,"Ar 9064",,0,"Archangium sp.",kanamycin,,1
21176,"Ar 9085",,0,"Archangium sp.",kanamycin,,1
21505,"Ar 10035",,0,"Archangium sp.",ampicillin,,1
,,,,,kanamycin,,1
21553,"Ar 7841",,0,"Archangium sp.",kanamycin,,1
21554,"Ar 7840",,0,"Archangium sp.",kanamycin,,1
21712,"Ar 7827",,0,"Archangium sp.",cycloheximide,,1
,,,,,kanamycin,,1
21749,"Ar 7145",,0,"Archangium sp.",kanamycin,,1
21758,"Ar 7155",,0,"Archangium sp.",kanamycin,,1
21807,"Ar 7192",,0,"Archangium sp.",kanamycin,,1
21943,"Ar 9605",,0,"Archangium sp.",kanamycin,,1
22142,"Ar 8070",,0,"Archangium sp.",kanamycin,,1
22143,"Ar 8076",,0,"Archangium sp.",kanamycin,,1
22156,"Ar 8086",,0,"Archangium sp.",kanamycin,,1
22157,"Ar 8080",,0,"Archangium sp.",kanamycin,,1
22161,"Ar 9582",,0,"Archangium sp.",kanamycin,,1
22272,"Ar 5086",,0,"Archangium sp.",kanamycin,,1
22312,"Ar 9433",,0,"Archangium sp.",kanamycin,,1
22369,"Ar 9414",,0,"Archangium sp.",kanamycin,,1
22551,"Ar 9397",,0,"Archangium sp.",kanamycin,,1
22562,"Ar 7498",,0,"Archangium sp.",kanamycin,,1
22662,"Ar 9340",,0,"Archangium sp.",kanamycin,,1
22663,"Ar 9344",,0,"Archangium sp.",kanamycin,,1
22664,"Ar 9345",,0,"Archangium sp.",kanamycin,,1
22677,"Ar 9352",,0,"Archangium sp.",kanamycin,,1
22678,"Ar 9356",,0,"Archangium sp.",kanamycin,,1
2094,,"DSM 8739, ATCC 49616, CDC D2686, LMG 10828, WDCM 00065, CCUG 30485, NCTC 12481, RM 4018",1,"Arcobacter butzleri",cephalothin,0,
,,,,,"nalidixic acid",1,
158655,F138-33,"CECT 8984, LMG 29148",1,"Arcobacter canalis",cefalotin,1,
,,,,,cefoperazone,1,
,,,,,"nalidixic acid",1,
140702,MA5,"LMG 28652, JCM 31147",1,"Arcobacter lekithochrous",cefoperazone,1,
2095,"WRI 449/80","DSM 7302, ATCC 51132, CCUG 10374, LMG 6621, WCDM 00067",1,"Arcobacter skirrowii",cephalothin,1,
,,,,,"nalidixic acid",1,
140651,MN12-7,"KCTC 32015, CIP 110422",1,"Arcticibacter svalbardensis",amikacin,,1
,,,,,ampicillin,1,
,,,,,cefazolin,,1
,,,,,cefoperazone,1,
,,,,,cefotaxime,1,
,,,,,cefuroxime,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,colistin,1,
,,,,,erythromycin,1,
133367,,"SM1504, KCTC 42716, CCTCC AB 2015348",1,"Arcticibacterium luteifluviistationis",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,chloramphenicol,1,
,,,,,colistin,,1
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,"penicillin g",1,
,,,,,"polymyxin b",,1
140943,SM1212,"MCCC 1K00234, KCTC 32514",1,"Arcticiflavibacter luteus",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,neomycin,,1
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,"polymyxin b",,1
,,,,,rifampicin,,1
133065,SYP-A7299,"DSM 100491, KCTC 39592",1,"Arthrobacter ginkgonis",aztreonam,1,
,,,,,d-serine,1,
,,,,,fusidate,1,
,,,,,"guanidinium chloride",1,
,,,,,lincomycin,1,
,,,,,"lithium chloride",1,
,,,,,minocycline,1,
,,,,,niaproof,1,
,,,,,rifampicin,1,
,,,,,"sodium bromate",,1
133190,,"C-1-16, KEMB 900-374, KACC 18717, JCM 31293",1,"Arvibacter flaviflagrans",ampicillin,,1
,,,,,chloramphenicol,,1
,,,,,cycloheximide,,1
,,,,,gentamicin,,1
,,,,,kanamycin,1,
,,,,,"nalidixic acid",,1
,,,,,neomycin,,1
,,,,,novobiocin,,1
,,,,,penicillin,,1
,,,,,rifampicin,1,
158566,DRW22-8,"KCTC 42356, JCM 30469",1,"Asprobacter aquaticus",ampicillin,,1
,,,,,ampicillin,1,
,,,,,hygromycin,,1
,,,,,imipenem,,1
,,,,,"penicillin g",,1
,,,,,"penicillin g",1,
,,,,,streptomycin,1,
,,,,,tetracycline,,1
,,,,,tetracycline,1,
18162,"At c1",,0,"Atactangium sp.",kanamycin,,1
21708,"At c2",,0,"Atactangium sp.",kanamycin,,1
526,WP1,"DSM 14790, CCUG 53900, CIP 107386",1,"Aurantimonas coralicida",amoxicillin,1,
,,,,,ampicillin,,1
,,,,,bacitracin,,1
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,colistin,,1
,,,,,erythromycin,1,
,,,,,furazolidone,,1
,,,,,fusidate,1,
,,,,,gentamicin,1,
158798,BN130233,"CCTCC AB 2017051, KCTC 42642, DSM 103550",1,"Aurantisolimonas haloimpatiens",amikacin,1,
,,,,,ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,"nalidixic acid",,1
,,,,,rifampicin,1,
,,,,,spectinomycin,,1
532,S21B,"DSM 21988, CECT 7138, CIP 109525, KCTC 22106, LMG 23375",1,"Aureimonas altamirensis",carbenicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,framycetin,1,
,,,,,"nalidixic acid",1,
,,,,,norfloxacin,1,
,,,,,novobiocin,1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
140972,2T4P-2-4,"KCTC 52217, CGMCC 1.15367",1,"Aureimonas endophytica","1 % sodium lactate",1,
,,,,,aztreonam,1,
,,,,,fusidate,1,
,,,,,"guanidinium chloride",,1
,,,,,lincomycin,,1
,,,,,"lithium chloride",1,
,,,,,minocycline,1,
,,,,,"nalidixic acid",,1
,,,,,niaproof,1,
,,,,,"potassium tellurite",1,
534,CW5,"DSM 21987, JCM 14755, KCTC 12893",1,"Aureimonas frigidaquae",ampicillin,1,
,,,,,bacitracin,,1
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,penicillin,,1
,,,,,"polymyxin b",1,
,,,,,streptomycin,1,
140460,S31,"CCUG 69858, KCTC 33611, MCC 3027",1,"Auricoccus indicus",amikacin,1,
,,,,,amoxicillin,,1
,,,,,amoxicillin,1,
,,,,,cefotaxime,1,
,,,,,ceftriaxone,1,
,,,,,ciprofloxacin,1,
,,,,,colistin,,1
,,,,,furazolidone,1,
,,,,,gentamicin,1,
,,,,,netilmycin,1,
158068,T3-209,"DSM 29135, KCTC 33631, MCCC 1K00503",1,"Bacillus alkalitolerans",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,kanamycin,1,
,,,,,"penicillin g",,1
,,,,,"polymyxin b",,1
,,,,,rifampicin,1,
,,,,,spectinomycin,1,
,,,,,streptomycin,,1
,,,,,tetracycline,1,
1263,41KF2b,"DSM 21631, JCM 13350, MTCC 7306",1,"Bacillus altitudinis",amikacin,,1
,,,,,amoxicillin,1,
,,,,,ampicillin,,1
,,,,,cefoperazone,1,
,,,,,cefuroxime,1,
,,,,,ciprofloxacin,,1
,,,,,co-trimoxazole,1,
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,"nalidixic acid",1,
1290,B8W22,"DSM 21047, JCM 13839, MTCC 7755",1,"Bacillus megaterium",amikacin,1,
,,,,,amoxicillin,1,
,,,,,ampicillin,1,
,,,,,bacitracin,1,
,,,,,carbenicillin,1,
,,,,,cefoperazone,1,
,,,,,cefotaxime,1,
,,,,,cefuroxime,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
1203,2DT,"DSM 13796",1,"Bacillus endophyticus",ampicillin,,1
1251,"Rcp Sm1","DSM 18237, LMG 17489, NCIMB 13771",1,"Neobacillus fumarioli",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,colistin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",,1
,,,,,nitrofurantoin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
1233,Sd/3,"DSM 15820, CIP 108689, LMG 22858, MTCC 4374",1,"Metabacillus indicus",amoxicillin,,1
,,,,,ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,neomycin,1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
158629,Ma50-5,"KCTC 33881, CCTCC AB 2017020",1,"Bacillus kexueae",amikacin,1,
,,,,,ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefazolin,1,
,,,,,cefoperazone,1,
,,,,,ceftazidime,,1
,,,,,ceftriaxone,1,
,,,,,cefuroxime,1,
,,,,,cephalexin,1,
,,,,,cephradine,1,
158731,AK74,"MTCC 12638, KCTC 33946, JCM 32185",1,"Bacillus lacus",amoxicillin,1,
,,,,,bacitracin,1,
,,,,,cefadroxil,1,
,,,,,cefazolin,1,
,,,,,cefprozil,1,
,,,,,ceftazidime,,1
,,,,,cephalexin,1,
,,,,,chloramphenicol,1,
,,,,,chlortetracyclin,1,
,,,,,gentamicin,1,
1256,B1761,"DSM 18845, CIP 107105, JCM 12212, KCTC 3846, LMG 18422",1,"Bacillus luciferensis",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,colistin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,nitrofurantoin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
140556,AK61,"JCM 31087, MTCC 12015, KCTC 33872",1,"Bacillus mangrovi",amoxicillin,,1
,,,,,ampicillin,1,
,,,,,bacitracin,1,
,,,,,cefadroxil,,1
,,,,,cefazolin,1,
,,,,,cefprozil,1,
,,,,,ceftazidime,,1
,,,,,cephalexin,,1
,,,,,cephalosporin,,1
,,,,,chloramphenicol,1,
158585,NC2-31,"KCTC 33721, MCCC 1K01239",1,"Bacillus marinisedimentorum",ampicillin,1,
,,,,,cefotaxime,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,neomycin,1,
,,,,,ofloxacin,1,
,,,,,penicillin,1,
,,,,,rifampicin,1,
133059,KS16-9,"DSM 100413, KCTC 33834, MTCC 12305",1,"Mesobacillus maritimus",bacitracin,1,
,,,,,novobiocin,1,
,,,,,optochin,1,
,,,,,"polymyxin b",1,
,,,,,vibriostat,1,
140881,NR1-3-2,"JCM 19598, LMG 28281, PCU 340, TISTR 2295",1,"Bacillus piscicola",amikacin,1,
,,,,,amoxicillin,1,
,,,,,cefepime,1,
,,,,,cefotaxime,1,
,,,,,cefoxitin,1,
,,,,,ceftriaxone,1,
,,,,,chloramphenicol,1,
,,,,,clindamycin,1,
,,,,,ertapenem,1,
,,,,,erythromycin,1,
159795,AK72,"MTCC 12636, KCTC 33981, JCM 32183",1,"Bacillus shivajii",amoxicillin,,1
,,,,,bacitracin,1,
,,,,,cefadroxil,1,
,,,,,cefazolin,1,
,,,,,cefprozil,1,
,,,,,ceftazidime,,1
,,,,,chloramphenicol,1,
,,,,,chlortetracyclin,1,
,,,,,gentamicin,1,
,,,,,penicillin,,1
132547,BZ-SZ-XJ18,"DSM 29145, JCM 30195",1,"Bacillus urumqiensis",amoxicillin,,1
,,,,,ampicillin,,1
,,,,,carbenicillin,,1
,,,,,cefalotin,1,
,,,,,cefotaxime,,1
,,,,,cefoxitin,1,
,,,,,chloramphenicol,1,
,,,,,clarithromycin,1,
,,,,,clindamycin,1,
,,,,,erythromycin,1,
1574,UKi2,"DSM 12778, ATCC 27052, DSM 50722, ICPB 3291",1,"Bacteriovorax stolpii",gentamicin,1,
,,,,,kanamycin,1,
,,,,,methicillin,1,
,,,,,"nalidixic acid",1,
,,,,,neomycin,1,
,,,,,penicillin,1,
,,,,,streptomycin,1,
,,,,,vancomycin,1,
140945,PEB0122,"NCIMB 14961, DSM 29779",1,"Bartonella apis",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,oxytetracycline,1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
1640,AUST/NH20,"DSM 23499, CCUG 52174, CIP 109064, CSUR B619",1,"Bartonella coopersplainsensis","aminoglycoside antibiotic",1,
,,,,,doxycycline,1,
,,,,,imipenem,,1
,,,,,"macrolide antibiotic",1,
,,,,,rifampicin,1,
,,,,,vancomycin,,1
1641,AUST/NH12,"DSM 23498, CCUG 52167, CIP 109057, CSUR B617",1,"Bartonella queenslandensis","aminoglycoside antibiotic",1,
,,,,,doxycycline,1,
,,,,,"macrolide antibiotic",1,
,,,,,rifampicin,1,
,,,,,vancomycin,,1
1642,AUST/NH4,"DSM 23500, CCUG 52161, CIP 109051, CSUR B609",1,"Bartonella rattaustraliani","aminoglycoside antibiotic",1,
,,,,,doxycycline,1,
,,,,,"macrolide antibiotic",1,
,,,,,rifampicin,1,
,,,,,vancomycin,,1
133124,D-402,"DSM 14946, UNIQEM U 779",1,"Beggiatoa leptomitoformis",neomycin,,1
,,,,,rifampicin,,1
140946,5C,"VKM B-2724, KCTC 32194",1,"Belliella buryatensis",amikacin,,1
38,CP2C,"DSM 16746, ATCC BAA 1043, CIP 109215",1,"Belnapia moabensis",aztreonam,,1
,,,,,bacitracin,,1
,,,,,carbenicillin,1,
,,,,,ceftriaxone,1,
,,,,,cephalothin,,1
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,colistin,,1
,,,,,doxycycline,1,
,,,,,erythromycin,1,
158654,RA3-3-1,"KCTC 62140, NBRC 113024",1,"Bizionia berychis",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,cephalothin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
,,,,,"penicillin g",,1
140551,P131,"MCCC 1H00124, KCTC 42587",1,"Bizionia sediminis",acetylspiramycin,1,
,,,,,ampicillin,1,
,,,,,"cefotaxime sodium",1,
,,,,,chloramphenicol,1,
,,,,,clindamycin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,"nalidixic acid",,1
,,,,,neomycin,,1
158642,KB1,"KCTC 15618, JCM 32276",1,"Blautia hominis",ampicillin,1,
,,,,,cefoperazone,1,
,,,,,gentamicin,,1
,,,,,metronidazole,1,
,,,,,neomycin,,1
,,,,,vancomycin,1,
1770,2017-12,"DSM 11294, CCUG 39178, HKI 88",1,"Bogoriella caseilytica",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,1,
,,,,,neomycin,1,
,,,,,nitrofurantoin,,1
,,,,,oxacillin,1,
377,"Hinz 591-77","DSM 11332, ATCC 35086, CCUG 13726, LMG 1852",1,"Bordetella avium","penicillin g",0,1
,,,,,"penicillin g",1,
1788,34614,"DSM 21596, CCUG 43111, CIP 106338",1,"Bosea eneae",amikacin,1,
,,,,,amoxicillin,1,
,,,,,cefepime,1,
,,,,,cefoxitin,1,
,,,,,ceftazidime,1,
,,,,,ceftriaxone,1,
,,,,,cephalothin,1,
,,,,,ciprofloxacin,1,
,,,,,"clavulanic acid",1,
,,,,,co-trimoxazole,1,
1791,R-46060,"DSM 26656, CCUG 61247, LMG 26379",1,"Bosea lathyri",amoxicillin,,1
,,,,,doxycycline,1,
,,,,,penicillin,,1
1792,R-45681,"DSM 26673, CCUG 61248, LMG 26383",1,"Bosea lupini",amoxicillin,,1
,,,,,doxycycline,1,
,,,,,penicillin,,1
1789,63287,"DSM 21079, CCUG 43117, CIP 106336",1,"Bosea massiliensis",amikacin,1,
,,,,,amoxicillin,1,
,,,,,cefepime,1,
,,,,,cefoxitin,1,
,,,,,ceftazidime,1,
,,,,,ceftriaxone,1,
,,,,,cephalothin,1,
,,,,,ciprofloxacin,1,
,,,,,"clavulanic acid",1,
,,,,,co-trimoxazole,1,
1787,,"CCUG 55772, DSM 13099, ATCC 700918, CIP 106457, AMX 51",1,"Bosea minatitlanensis",amikacin,1,
,,,,,cefotaxime,1,
,,,,,ceftazidime,,1
,,,,,cephalothin,1,
,,,,,ciprofloxacin,,1
,,,,,co-trimoxazole,1,
,,,,,colistin,1,
,,,,,gentamicin,1,
,,,,,imipenem,1,
,,,,,netilmycin,1,
1793,R-46070,"DSM 26672, CCUG 61249, LMG 26381",1,"Bosea robiniae",amoxicillin,,1
,,,,,doxycycline,1,
,,,,,penicillin,,1
1786,BI-42,"DSM 9653, CCUG 55771, ATCC 700366",1,"Bosea thiooxidans",ampicillin,,1
,,,,,chloramphenicol,1,
,,,,,neomycin,1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
1790,34635,"DSM 21229, CCUG 43114, CIP 106340, CCUG 43114 T",1,"Bosea vestrisii",amikacin,1,
,,,,,amoxicillin,1,
,,,,,cefepime,1,
,,,,,cefoxitin,1,
,,,,,ceftazidime,1,
,,,,,ceftriaxone,1,
,,,,,cephalothin,1,
,,,,,ciprofloxacin,1,
,,,,,"clavulanic acid",1,
,,,,,co-trimoxazole,1,
132661,KWS-1,"DSM 28796, JCM 30059, MTCC 11836",1,"Brachybacterium aquaticum",bacitracin,,0
,,,,,novobiocin,,0
,,,,,optochin,,0
,,,,,"polymyxin b",,0
159799,M1HQ-2,"KCTC 49087, CGMCC 1.16391",1,"Brachybacterium endophyticum","1 % sodium lactate",,1
,,,,,aztreonam,,1
,,,,,fusidate,1,
,,,,,"guanidinium chloride",1,
,,,,,lincomycin,1,
,,,,,"lithium chloride",,1
,,,,,minocycline,1,
,,,,,"nalidixic acid",,1
,,,,,niaproof,1,
,,,,,"potassium tellurite",,1
343,"RKI 99-01984","DSM 13743, LMG 19451, NCIMB 13739, CCUG 47103",1,"Brackiella oedipodis",amikacin,1,
,,,,,ampicillin,1,
,,,,,cefotaxime,1,
,,,,,cefotiam,1,
,,,,,cefoxitin,1,
,,,,,ceftazidime,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
1813,"P17Hg1, PL7HG1","DSM 17288, CECT 5829, LMG 21987, NBRC 103048, CCUG 55850",1,"Bradyrhizobium betae",amoxicillin,,1
,,,,,cefuroxime,1,
,,,,,ciprofloxacin,1,
,,,,,cloxacillin,,1
,,,,,gentamicin,,1
,,,,,neomycin,1,
,,,,,oxytetracycline,,1
,,,,,penicillin,,1
,,,,,"polymyxin b",,1
140541,AMBPC1011,"CECT 9227, LMG 29967",1,"Bradyrhizobium cajani",ampicillin,,1
,,,,,cefuroxime,,1
,,,,,cloxacillin,,1
,,,,,erythromycin,,1
,,,,,gentamicin,1,
,,,,,neomycin,1,
,,,,,penicillin,,1
,,,,,"polymyxin b",,1
,,,,,tetracycline,1,
1817,CTAW11,"DSM 23720, CECT 7749, LMG 25866",1,"Bradyrhizobium cytisi",ampicillin,,1
,,,,,cefuroxime,1,
,,,,,ciprofloxacin,,1
,,,,,cloxacillin,,1
,,,,,erythromycin,,1
,,,,,gentamicin,1,
,,,,,neomycin,1,
,,,,,penicillin,,1
,,,,,"polymyxin b",,1
,,,,,tetracycline,1,
1816,PAC68,"DSM 19632, CECT 7395, LMG 24556",1,"Bradyrhizobium jicamae",cefuroxime,1,
,,,,,ciprofloxacin,1,
,,,,,cloxacillin,,1
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,neomycin,1,
,,,,,penicillin,,1
,,,,,"polymyxin b",1,
,,,,,tetracycline,1,
1814,2281,"DSM 24092, CECT 4845, USDA 3622",1,"Bradyrhizobium liaoningense",chlortetracyclin,,1
,,,,,doxycycline,,1
,,,,,oxytetracycline,,1
,,,,,penicillin,1,
140478,,"LMG 30031, U675, BR 6010, CNPSo 1165, SEMIA 6399",1,"Bradyrhizobium mercantei",ampicillin,,1
,,,,,bacitracin,,1
,,,,,cefuroxime,,1
,,,,,chloramphenicol,,1
,,,,,erythromycin,,1
,,,,,"nalidixic acid",,1
,,,,,neomycin,,1
,,,,,penicillin,,1
,,,,,streptomycin,,1
,,,,,tetracycline,,1
141148,5-10,"LMG 28789, DSM 100300, NTCCM 0017",1,"Bradyrhizobium namibiense",ampicillin,,1
,,,,,chloramphenicol,,1
,,,,,erythromycin,1,
,,,,,kanamycin,,1
,,,,,streptomycin,,1
,,,,,tetracycline,1,
1815,PAC48,"DSM 19631, CECT 7396, LMG 24246",1,"Bradyrhizobium pachyrhizi",cefuroxime,,1
,,,,,ciprofloxacin,,1
,,,,,erythromycin,,1
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,neomycin,1,
,,,,,penicillin,,1
,,,,,"polymyxin b",,1
,,,,,tetracycline,,1
159767,,"LMG 30283, DSM 105795, NTCCM 0019, WR 4",1,"Bradyrhizobium ripae",ampicillin,,1
,,,,,chloramphenicol,,1
,,,,,erythromycin,,1
,,,,,kanamycin,,1
,,,,,streptomycin,,1
140809,,"CNPSo 2823, HAMBI 3668, H-8, BR 446",1,"Bradyrhizobium stylosanthis",ampicillin,1,
,,,,,bacitracin,,1
,,,,,cefuroxime,1,
,,,,,chloramphenicol,,1
,,,,,erythromycin,,1
,,,,,"nalidixic acid",1,
,,,,,neomycin,1,
,,,,,"penicillin g",,1
,,,,,streptomycin,1,
,,,,,tetracycline,1,
132365,7-2,"DSM 100297, LMG 28791, NTCCM 0018, DSMZ 100297",1,"Bradyrhizobium vignae",chloramphenicol,,1
,,,,,streptomycin,,1
,,,,,tetracycline,,1
133018,FXJ8.269,"DSM 102229, CGMCC 1.15472",1,"Brevibacterium sediminis",aztreonam,,1
,,,,,"guanidinium chloride",,1
,,,,,"lithium chloride",,1
,,,,,"nalidixic acid",,1
,,,,,"sodium bromate",,1
,,,,,"sodium butyrate",,1
,,,,,"sodium lactate",,1
140885,NHI-13,"KEME 9005-016, KACC 18249, JCM 30385",1,"Brevundimonas albigilva",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,neomycin,1,
,,,,,novobiocin,,1
,,,,,"penicillin g",,1
,,,,,rifampicin,1,
,,,,,streptomycin,1,
133379,,"DSM 29841, FDRGB2b, NCAIM B.02621",1,"Brevundimonas balnearis",amoxicillin,,1
,,,,,ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefamandole,1,
,,,,,cefoxitin,1,
,,,,,cefuroxime,1,
,,,,,ciprofloxacin,1,
,,,,,clindamycin,,1
,,,,,erythromycin,1,
,,,,,gentamicin,1,
133414,GTAE24,"LMG 29500, CECT 9126",1,"Brevundimonas canariensis",ampicillin,,1
,,,,,cefuroxime,1,
,,,,,ciprofloxacin,1,
,,,,,cloxacillin,,1
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,neomycin,1,
,,,,,penicillin,,1
,,,,,"polymyxin b",1,
,,,,,tetracycline,1,
140708,N62,"KCTC 42589, MCCC 1H00117",1,"Brumimicrobium aurantiacum",acetylspiramycin,1,
,,,,,ampicillin,1,
,,,,,cefotaxime,1,
,,,,,ceftriaxone,1,
,,,,,chloramphenicol,1,
,,,,,clindamycin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
141,,"DSM 22489, LMG 25276, SN 10",1,"Bryocella elongata",ampicillin,,1
,,,,,chloramphenicol,,1
,,,,,gentamicin,,1
,,,,,kanamycin,1,
,,,,,lincomycin,1,
,,,,,neomycin,,1
,,,,,novobiocin,1,
,,,,,streptomycin,,1
160,"UCD 81-332-9","DSM 20732, ATCC 35275, CIP 103149, CCUG 32937, CIP 103127",1,"Buchananella hordeovulneris",cephalothin,1,
,,,,,chloramphenicol,1,
,,,,,"penicillin g",1,
,,,,,trimethoprim,1,
18026,I77R1B,"DSM 12137, ATCC 700853",1,"Caldicellulosiruptor kristjanssonii",neomycin,1,
,,,,,penicillin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
,,,,,vancomycin,1,
18024,6A,"DSM 9545",1,"Caldicellulosiruptor lactoaceticus",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,kanamycin,1,
,,,,,neomycin,1,
,,,,,penicillin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
,,,,,vancomycin,1,
